"""brand""";"""founded_by""";"""founded_in""";"""country""";"""key_people""";"""industry""";"""website""";"""rank_2022""";"""rating_2022""";"""brand_value_2022""";"""brand_value_2021""";"""change"""
Disney;Walt Disney, Roy O. Disney;1923;United States;Bob Chapek(CEO);Media, Entertainment;https://thewaltdisneycompany.com/;19;AAA+;57059.42;51244.01;11%
Home Depot;Bernard Marcus, Arthur Blank, Ron Brill, Pat Farrah, Ken Langone;1978;United States;Ted Decker(CEO);Retail;https://www.homedepot.com/;20;AAA-;56312.3;52917.39;6%
Ping An;Ma Mingzhe;1988;China;Xie Yonglin(Co-CEO), Tan Sin Yin(Co-CEO), Yao Jason Bo(Co-CEO);Financial Services;https://group.pingan.com/;21;AAA-;54354;54579;0%
Taobao;Alibaba group;2003;China;Trudy Dai Shan(chairwoman);C2C, E-commerce;https://www.taobao.com/;22;AAA-;53761.5;53335.29;1%
Shell;Marcus Samuel, samuel Samuel, Jean B.A. Kessler, Henri Deterding, Hugo Loudon;1907;United Kingdom;Ben van Beurden(CEO);Energey, Petroleum;https://www.shell.com/;23;AAA-;49925.43;42156.08;18%
Bank of China;Chen Jintao;1912;China;Liu Liange(Chairman);Financial services;https://www.boc.cn/en/;24;AAA;49553.38;48689.28;2%
Tmall;Alibaba group;2008;China;Trudy Dai Shan(chairwoman);E-commerce, Retail;https://www.tmall.com/;25;AA+;49182.43;49178.92;0%
AT&T;Alexander Graham Bell, Gardiner Greene Hubbard;1885;United States;John Stankey(CEO);Telecommunications, Technology;https://about.att.com/;26;AA;47008.54;51372.34;-8%
Tencent;Pony Ma, Tony Zhang, Xu Chenye, Charles Chen, Zeng Liqing;1998;China;Pony Ma(CEO);Conglomerate;https://www.tencent.com/en-us/index.html;27;AAA-;46652.5;56432.39;-17%
Tesla;Martin Eberhard, Marc Tarpenning;2003;United States;Elon Musk(CEO);Automotive, Renewable energy;https://www.tesla.com/;28;AA+;46009.69;31985.9;44%
Starbucks;Jerry Baldwin, Zev Siegl, Gordon Bowker;1971;United States;Mellody Hobson(Chairwoman);Coffee shop;https://www.starbucks.com/;29;AAA;45699.13;38440.12;19%
Allianz Group;Carl von Thieme;1890;Germany;Oliver Bäte(CEO);Financial services;http://allianz.com/;30;AAA-;45203.47;15174;198%
Aramco;Government Of saudi Arabia through a company 'Standard Oil of California'(SoCal) and its subsidiary 'California -Arabian Standard Oil'(CASOC). This CASOC name was later changed to 'Arabian-Americal Oil Co.(Aramco)';1933;Saudi Arabia;Amin H. Nasser(CEO);Oil and gas;https://www.aramco.com/;31;AA;43636.86;37478.64;16%
Moutai;Kweichow Moutai Group;1999;China;Ding Xiongjun(CEO);Alcohol industry;http://www.moutaichina.com/;32;AAA;42905.18;45333.22;-5%
Volkswagen;German Labour Front;1937;Germany;Ralf Brandstaetter(CEO);Automotive;https://www.vw.com/en.html;33;AAA-;41046;47020;-13%
China Mobile;Incorporated in 1997 as China Telecom(Hong Kong), China Mobile was born from the 1999 break-up of China Telecommunications Corporation;1997;China;Dong Xin(CEO);Telecommunications;http://www.chinamobileltd.com/;34;AAA-;40902.69;37558.89;9%
NTT Group;Government of Japan;1952;Japan;Akira Shimada(CEO);Telecommunications;https://group.ntt/en/ AND https://www.global.ntt/;35;AA+;40691;34238;19%
McDonald's;Richard McDonald, Maurice McDonald, Ray Kroc;1940;United States;Chris Kempczinski(CEO);Restaurants, real estate;https://www.mcdonalds.com/us/en-us.html AND https://corporate.mcdonalds.com/corpmcd/home.html;36;AAA;39720.8;33838.36;17%
Mitsubishi Group;Yatar? Iwasaki;1870;Japan;Group of 40 companies without a controlling parent company.;Automotive,Chemical,Electronics,Food,Financial,Metallurgy,Mining,Petroleum;https://www.mitsubishi.com/en/;37;AA-;39203;36296.92;8%
UPS;James E. Casey;1907;United States;Carol Tomé(CEO);Courier;http://ups.com/;38;AAA-;38533.32;30055.96;28%
BMW;Camillo Castiglioni, Franz Josef Popp, Karl Rapp;1916;Germany;Oliver Zipse(CEO);Automotive;https://www.bmwgroup.com/en.html AND https://www.bmw.com/en/index.html;39;AAA-;37945.39;40447.11;-6%
Costco;James Sinegal, Jeffrey Brotman;1983;United States;W. Craig Jelinek(CEO);Retail;https://www.costco.com/;40;AAA-;37501.35;28887.9;30%
Bank of America;Amadeo Giannini, Hugh McColl;1998;United States;Brian Moynihan(CEO);Financial services;https://www.bankofamerica.com/;41;AA+;36719.17;32787.35;12%
Marlboro;Philip Morris;1924;United States;Jacek Olczak(CEO of manufacturing company Philip Morris International);Cigarettes;https://www.marlboro.com/;42;AA+;36278;35572;2%
Accenture;"In 1989, Arthur Andersen and Andersen Consulting became separate units of 'Andersen Worldwide Société Coopérative'. On 1st January 2001, Andersen Consulting adopted its current name ""Accenture"".";1989;Ireland;Julie Sweet(CEO);Professional services, Information technology, Consulting;https://www.accenture.com/;43;AAA;36190.05;26028.06;39%
Coca-Cola;John Stith Pemberton;1886;United States;James Quincey(CEO of The Coca-Cola Company which manufactures Coca-Cola;Carbonated Soft Drink;https://www.coca-cola.com/;44;AAA+;35379.02;33166.17;7%
Citi;Sanford Weill, Samuel Osgood;1998;United States;Jane Fraser(CEO);Financial services;https://www.citigroup.com/;45;AAA-;34443.07;32199.99;7%
Porsche;Ferdinand Porsche;1931;Germany;Oliver Blume(CEO);Automotive;https://www.porsche.com/;46;AAA;33712.92;34325.53;-2%
Instagram;Kevin Systrom, Mike Krieger;2010;United States;Adam Mosseri(Head Of Instagram);Video Sharing, Social Networking service;https://instagram.com/;47;AAA+;33483.24;25073.11;34%
Lowe's;Lucius Smith Lowe;1921;United States;Marvin R. Ellison(CEO);Retail;https://lowes.com/;48;AAA-;33391.59;30376.09;10%
Nike;Bill Bowerman, Phil Knight;1964;United States;John Donahoe(CEO);Apparel, Accessories, Sports Equipment;https://www.nike.com/;49;AAA-;33175.68;30443.3;9%
UnitedHealthcare;Richard T. Burke;1977;United States;Andrew Witty(CEO);Managed Healthcare, Insurance;http://unitedhealthgroup.com/;50;AA+;32946.22;27308.02;21%
Xfinity;"It was started as Comcast Cable(1981-2010). In February, the name was changed to ""Xfinity""";1981;United States;David N. Watson(CEO);Telecommunications;https://www.xfinity.com/;51;AA;31262.54;25226.81;24%
Chase;Subsidiary of JPMorgan Chase. Was known as Chase Manhattan Bank until the merger with JP Morgan & Co. in 2000. ;1799;United States;Jamie Dimon(CEO);Banking;https://www.chase.com/;52;AA;30148.31;28849.24;5%
Wells Fargo;Henry Wells, William Fargo;1852;United States;Charles Scharf(CEO);Financial services;https://www.wellsfargo.com/;53;AA;30054.2;31804.69;-6%
Deloitte;William Welch Deloitte;1845;England;Punit Renjen(CEO);Professional services;https://www.deloitte.com/;54;AAA+;29811.34;26661.77;12%
PetroChina;Founded as a joint stock company with limited liabilities under the Company Law of China as part of restructuring of China National Petroleum Corporation(CNPC);1999;China;Wang Dongjin(CEO);Oil and gas;http://www.petrochina.com.cn/ptr/;55;AA;29656.09;31414.63;-6%
Netflix;Reed Hastings, Marc Randolph;1997;United States;Reed Hastings(Chairman and Co-CEO), Ted Sarandos(Co-CEO and CCO);Technology & Entertainment industry, mass media;http://www.netflix.com/;56;AAA+;29410.58;24943.42;18%
Oracle;Larry Ellison, Bob Miner, Ed Oates;1977;United States;Safra Catz (CEO);Enterprise software, Business software, Cloud computing, Computer hardware, Consulting;https://www.oracle.com/;57;AA;29120.63;26156.75;11%
JP Morgan;J. P. Morgan;1871;United States;Jamie Dimon(CEO);Investment banking, commercial banking, asset management;https://www.jpmorgan.com/;58;AAA-;28887.99;23565.13;23%
Wuliangye;Wuliangye Yibin Company Limited;1998;China;Tao Zou(CEO);Alcohol industry;https://www.wuliangye.com.cn/zh/main/index.html;59;AAA;28744.31;25768.07;12%
Target;George Dayton, Douglas Dayton & John Geisse;1902;United States;Brian C. Cornell(Chairman and CEO);Retail;https://target.com/ AND https://corporate.target.com/;60;AAA-;28341.88;20685.19;37%
Honda;Soichiro Honda;1946;Japan;Toshihiro Mibe(CEO);Manufacturing;https://global.honda/;61;AAA-;28243;31366;-10%
CSCEC;Founded as a state company;1957;China;Zhou Naixiang(Chairman);Construction;http://www.cscec.com.cn/;62;AA;27385.67;30383.3;-10%
American Express;Founded as a joint-stock corporation by the merger of the express companies owned by Henry Wells(Wells & Company), William G. Fargo(Livingston, Fargo and Company) and John Warren Butterfield(Wells, Butterfield and Company);1850;United States;Stephen J. Squeri(Chairman and CEO);Banking, Financial services;https://www.americanexpress.com/;63;AA+;27247.5;23558.79;16%
JD.com;Liu Qiangdong;2009;China;Xu Lei(President and CEO);E-Commerce, Artificial Intelligence, Robotics, Autonomous Car;http://www.joybuy.com/;64;AAA-;27152.47;23539.49;15%
VISA;Dee Hock;1958;United States;Alfred F. Kelly Jr.(CEO);Financial services;https://visa.com/;65;AAA-;27088.93;26507.84;2%
Cisco;Leonard Bosack, Sandy Lerner;1984;United States;Chuck Robbins(CEO and Chairman);Networking hardware, Networking software;https://www.cisco.com/;66;AAA-;26599.15;20122.38;32%
CVS;Stanley Goldstein, Sidney Goldstein, Ralph Hoagland, Dipak Dave;1963;United States;Karen S. Lynch(CEO);Retail;http://cvs.com/;67;AA;26185;26942.29;-3%
FedEx;Frederick W. Smith;1971;United States;Raj Subramaniam(CEO);E-Commerce, Services, Transportation;https://www.fedex.com/;68;AA+;26011.61;23538.64;11%
Intel;Gordon Moore, Robert Noyce;1968;United States;Pat Gelsinger(CEO);Semiconductors, Computer hardware, Autonomous cars, Automation, Artificial Intelligence;https://www.intel.com/;69;AA+;25612.1;31817.2;-20%
Sinopec;Established as a joint stock entity under the China Petrochemical Corporation Group(Sinopec Group);2000;China;Zhao Dong(President);Oil and gas;http://www.sinopec.com/listco/en/;70;AA+;25164.93;26397.98;-5%
Sumitomo Group;Masatomo Sumitomo;1615;Japan;-;Conglomerate;https://www.sumitomo.gr.jp/english/;71;AA-;25050;24122.19;4%
Hyundai Group;Chung Ju-yung;1947;South Korea;Hyun Jeong-eun(Chairman);Conglomerate;http://www.hyundaigroup.com/eng/;72;AA;24971;23092.43;8%
SK Group;Chey Jong-gun;1953;South Korea;Chey Tae-won(Chairman and CEO);Conglomerate;http://www.sk.com/en/;73;AA+;24421;21115.26;16%
China Merchants Bank;Yuan Geng;1987;China;Wang Liang (CEO);Banking;https://www.cmbchina.com/;74;AA+;24369.7;21043.7;16%
Mitsui;Mitsui Takatoshi;1876;Japan;-;Conglomerate;https://www.mitsui.com/jp/en/index.html;75;A+;24329;22495.82;8%
Ford;Henry Ford;1903;United States;Jim Farley(President and CEO);Automotive;https://www.ford.com/;76;AA+;24178;22676;7%
Spectrum;Trade name of Charter Communications;1999;United States;Tom Rutledge(Chairman and CEO of Charter Communications);Telecommunications;https://www.spectrum.com/;77;AA;24082.81;21423.61;12%
TATA Group;Jamsedji Tata;1868;India;Natarajan Chandrasekaran(Chairman and Managing Director);Conglomerate;https://www.tata.com/;78;AAA-;23919.8;21283.1;12%
YouTube;Chad Hurley, Steve Chen, Jawed Karim;2005;United States;Susan Wojcicki(CEO);Internet, Video Hosting Service;https://www.youtube.com/;79;AAA+;23891.37;17286.13;38%
China Life;Formed from the breakup of former government-owned monopoly 'People's Insurance Company of China', it was established as a public traded company with its parent as China Life Insurance Group of the Minstry of Finance;1949;China;Dairen Lin(CEO);Financial services;https://www.chinalife.com.cn/;80;AAA;23885;22578;6%
Louis Vuitton;Louis Vuitton;1955;France;Michael Burke(Chairman and CEO);Fashion;https://www.louisvuitton.com/;81;AAA;23425.92;14857.61;58%
EY;Formed with the merger of 2 firm(one with Alwin C. Ernst & Frederick Whinney as the partners and the other with Arthur Young and Broads patterson and Co. as the partners);1989;United Kingdom;Carmine Di Sibio(Chairman and CEO);Professional services;https://www.ey.com/;82;AAA+;23247.49;20287.4;15%
PwC;Formed with the merger of Price Waterhouse and Coopers & Lybrand ;1998;United Kingdom;Robert E. Moritz(Chairman);Professional services;https://www.pwc.com/;83;AAA;23170.58;22231.61;4%
Alibaba.com;Jack Ma;1993;China;Daniel Zhang(CEO);Technology;https://www.alibabagroup.com/en-US/;84;AA+;22842.66;39155.52;-42%
Uber;Garrett Camp, Travis Kalanick;2009;United States;Dara Khosrowshahi(CEO);Transportation, Mobility as a service;https://www.uber.com/;85;AA-;22819.98;20477.9;11%
Siemens Group;Werner von Siemens;1847;Germany;Roland Busch(CEO);Conglomerate;https://www.siemens.com/;86;AA+;22430;20646;9%
Dell Technologies;Michael Dell( formed as merger of Dell and EMC Corporation);2016;United States;Michael Dell(Chairman and CEO);Computer Hardware, Software, Cloud Computing, Data Storage, Information Security, Consulting;http://dell.com/;87;AA;22220;18427;21%
Mastercard;Originally known as Interbank and later as Master Charge, 'Mastercard' was created by an alliance of several regional bankcard associations in response to BankAmericard issued by Bank of America, which later became the Visa credit card.;1978;United States;Michael Miebach(CEO);Financial services;https://www.mastercard.com/;88;AA+;21425.3;19117.21;12%
IBM;Charles Ranlett Flint;1911;United States;Arvind Krishna(Chairman and CEO);Information Technology;https://www.ibm.com/;89;AA+;21383;27428;-22%
NestlÃ©;Henri Nestlé;1866;Switerland;Ulf Mark Schneider(CEO);Food processing;http://nestle.com/;90;AAA;20818.74;19427.99;7%
LG Group;Koo In-hwoi;1947;South Korea;Koo Kwang-mo(Chairman and CEO);Conglomerate;https://www.lgcorp.com/;91;AA+;20792;18519.05;12%
Pepsi; Caleb Bradham;1893;United States;Ramon Laguarta(CEO of the manufacturing company PepsiCo);Cola(carbonated drink);http://www.pepsi.com/;92;AAA+;20712.25;18455.47;12%
TSMC;Morris Chang;1987;Taiwan;C.C. Wei(CEO);Semiconductors, GPUs, Graphic cards, Consumer Electronics, Computer Hardware;https://www.tsmc.com/;93;AAA-;20474;12297.96;66%
Sony;Masaru Ibuka, Akio Morita;1946;Japan;Kenichiro Yoshida(Chairman, President and CEO);Conglomerate;https://www.sony.com/;94;AAA-;19814.9;15701.9;26%
General Electric;Charles A. Coffin, Thomas Edison, J. P. Morgan;1892;United States;H. Lawrence Culp Jr.(Chairman and CEO);Conglomerate;https://www.ge.com/;95;AA+;19725.44;18028.43;9%
CRCC;Formerly an arm of People's Liberation Army, the company was incorporated to float the assest of China Railway Construction Corporation(Group);1948;China;Fengchao Meng(Chairman);Construction;https://www.crcc.cn/;96;AA+;19687.3;15910.79;24%
Walgreens;Charles Rudolph Walgreen;1901;United States;Rosalind Brewer(CEO);Retail;http://walgreens.com/;97;AA+;19685.87;16096.58;22%
Vodafone;Ernest Harrison, Gerry Whent;1991;United Kingdom;Nick Read(CEO);Telecommunications;http://www.vodafone.com/;98;AA;19506.03;19252.35;1%
Aldi;Karl, Theo Albrecht;1946;Germany;Torsten Hufnagel(CEO of Aldi Nord)Giles Hurley(CEO of Aldi Süd);Retail;http://aldi.com/;99;AAA-;19236.62;15487.07;24%
RBC;The Merchants Bank of Halifax, found in 1864 as a commercial bank that financed the fishing and timber industries and the European and Caribbean import/export businesses, changed its name to the Royal Bank of Canada(RBC) in 1901.  ;1864;Canada;David I. McKay(President and CEO);Financial Services;http://rbc.com/;100;AAA-;19039.81;15817.97;20%
